Gene_ID	Final_Annotation
1_1134	Thymidylate kinase {ECO:0000255|HAMAP-Rule:MF_00165}
1_1135	DNA polymerase III subunit delta'
1_1136	Uncharacterized metal-dependent hydrolase YabD {ECO:0000305}
1_1137	Glucoside-specific phosphotransferase enzyme IIA component
1_1138	Fe(3+)-pyochelin receptor
1_1139	Purine nucleoside phosphoramidase {ECO:0000250|UniProtKB:P0ACE7}
1_1140	Uncharacterized protein YcfL
1_1141	Penicillin-binding protein activator LpoB {ECO:0000255|HAMAP-Rule:MF_01889}
1_1142	Thiamine kinase {ECO:0000255|HAMAP-Rule:MF_01604}
1_1143	Beta-hexosaminidase {ECO:0000255|HAMAP-Rule:MF_00364}
1_1144	UPF0227 protein YPA_1906 {ECO:0000255|HAMAP-Rule:MF_01047}
1_1145	Type II NADH:quinone oxidoreductase {ECO:0000250|UniProtKB:P00393}
1_1146	Uncharacterized protein YcfJ
1_1147	HTH-type transcriptional repressor ComR
1_1148	Hypothetical protein
1_1149	Probable L,D-transpeptidase ErfK/SrfK
1_1150	Transcription-repair-coupling factor {ECO:0000255|HAMAP-Rule:MF_00969}
1_1151	Inner membrane protein YcfT
1_1152	NULL
1_1153	Lipoprotein-releasing system ATP-binding protein LolD {ECO:0000255|HAMAP-Rule:MF_01708}
1_1154	Uncharacterized membrane protein BUsg_286
1_1155	N-acetyl-D-glucosamine kinase {ECO:0000255|HAMAP-Rule:MF_01271}
1_1156	NAD-dependent protein deacylase {ECO:0000255|HAMAP-Rule:MF_01121}
1_1157	Inner membrane protein YcfZ
1_1158	Inner membrane protein YmfA
1_1159	Putrescine-binding periplasmic protein PotF
1_1160	Putrescine transport system permease protein PotI {ECO:0000305}
1_1161	NULL
1_1162	Spermidine/putrescine import ATP-binding protein PotA {ECO:0000255|HAMAP-Rule:MF_01726}
1_1163	Peptidase T {ECO:0000255|HAMAP-Rule:MF_00550}
1_1164	50S ribosomal protein L16 3-hydroxylase {ECO:0000305}
1_1165	Two-component sensor PhoQ {ECO:0000303|PubMed:10564474}
1_1166	Two-component response regulator PhoP {ECO:0000303|PubMed:10564474}
1_1167	NULL
1_1168	High frequency lysogenization protein HflD homolog {ECO:0000255|HAMAP-Rule:MF_00695}
1_1169	tRNA-specific 2-thiouridylase MnmA {ECO:0000255|HAMAP-Rule:MF_00144}
1_1170	Phosphatase NudJ
1_1171	Ribosomal large subunit pseudouridine synthase E
1_1172	Isocitrate dehydrogenase [NADP]
1_1173	Uncharacterized protein YcgX
1_1174	HTH-type transcriptional regulator MlrA {ECO:0000250|UniProtKB:E1WH94}
1_1175	NULL
1_1176	Hypothetical protein
1_1177	Hypothetical protein
1_1178	Hypothetical protein
1_1179	Cyclic di-GMP phosphodiesterase PdeL {ECO:0000305}
1_1180	Hypothetical protein
1_1181	Hypothetical protein
1_1182	Outer membrane protein IcsA translocator
1_1183	Uncharacterized protein YmgD
1_1184	UPF0757 protein YmgG {ECO:0000255|HAMAP-Rule:MF_01455}
1_1185	Hypothetical protein
1_1186	Putative septum site-determining protein MinD
1_1187	Probable septum site-determining protein MinC {ECO:0000255|HAMAP-Rule:MF_00267}
1_1188	Uncharacterized protein YcgJ
1_1189	Inhibitor of g-type lysozyme
1_1190	Protein YcgL {ECO:0000255|HAMAP-Rule:MF_01866}
1_1191	Acylpyruvase FAHD1, mitochondrial
1_1192	UPF0260 protein VS_0923 {ECO:0000255|HAMAP-Rule:MF_00676}
1_1193	Putative hemolysin E-like protein
1_1194	Protein UmuD'
1_1195	Protein MucB
1_1196	Disulfide bond formation protein B {ECO:0000255|HAMAP-Rule:MF_00286}
1_1197	Na(+)/H(+) antiporter NhaB {ECO:0000255|HAMAP-Rule:MF_01599}
1_1198	Fatty acid metabolism regulator protein {ECO:0000255|HAMAP-Rule:MF_00696}
1_1199	Uncharacterized protein YcgB
1_1200	D-amino acid dehydrogenase {ECO:0000255|HAMAP-Rule:MF_01202}
1_1201	Alanine racemase {ECO:0000255|HAMAP-Rule:MF_01201}
1_1202	K(+)/H(+) antiporter NhaP2 {ECO:0000255|HAMAP-Rule:MF_01075}
1_1203	Murein tetrapeptide carboxypeptidase
1_1204	Endo-type membrane-bound lytic murein transglycosylase A {ECO:0000255|HAMAP-Rule:MF_01381}
1_1205	Flagellar brake protein YcgR {ECO:0000255|HAMAP-Rule:MF_01457}
1_1206	Hypothetical protein
1_1207	Uncharacterized protein YcgY
1_1208	Cytoplasmic trehalase {ECO:0000255|HAMAP-Rule:MF_01059}
1_1209	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM {ECO:0000250|UniProtKB:P37349}
1_1210	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL {ECO:0000303|PubMed:11350937}
1_1211	PTS-dependent dihydroxyacetone kinase 2, dihydroxyacetone-binding subunit DhaK {ECO:0000305|PubMed:22773791}
1_1212	Glycerol metabolism operon regulatory protein {ECO:0000303|PubMed:7635824}
1_1213	Putative uncharacterized protein YcgV
1_1214	Hypothetical protein
1_1215	Obg-like ATPase 1 {ECO:0000255|HAMAP-Rule:MF_03167}
1_1216	Peptidyl-tRNA hydrolase {ECO:0000255|HAMAP-Rule:MF_00083}
1_1217	Uncharacterized protein YchH
1_1218	Putative sulfate transporter YvdB
1_1219	Ribose-phosphate pyrophosphokinase {ECO:0000255|HAMAP-Rule:MF_00583}
1_1220	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase {ECO:0000255|HAMAP-Rule:MF_00061}
1_1221	Outer-membrane lipoprotein LolB {ECO:0000255|HAMAP-Rule:MF_00233}
1_1222	Glutamyl-tRNA reductase {ECO:0000255|HAMAP-Rule:MF_00087}
1_1223	Peptide chain release factor 1 {ECO:0000255|HAMAP-Rule:MF_00093}
1_1224	Release factor glutamine methyltransferase {ECO:0000255|HAMAP-Rule:MF_02126}
1_1225	Protein SirB2
1_1226	UPF0162 protein VC_2176
1_1227	2-dehydro-3-deoxyphosphooctonate aldolase {ECO:0000255|HAMAP-Rule:MF_00056}
1_1228	Hypothetical protein
1_1229	Hypothetical protein
1_1230	Hypothetical protein
1_1231	Sodium-potassium/proton antiporter ChaA {ECO:0000305}
1_1232	Hypothetical protein
1_1233	Glutathione-specific gamma-glutamylcyclotransferase {ECO:0000305|PubMed:27913623}
1_1234	Protein YchN
1_1235	NULL
1_1236	NULL
1_1237	Nitrate/nitrite sensor protein NarX
1_1238	Hypothetical protein
1_1239	Probable nitrate/nitrite antiporter NarK2 {ECO:0000305}
1_1240	Perchlorate reductase subunit alpha
1_1241	Perchlorate reductase subunit beta
1_1242	Probable nitrate reductase molybdenum cofactor assembly chaperone NarW
1_1243	Respiratory nitrate reductase 2 gamma chain
1_1244	Hypothetical protein
1_1245	Formyltetrahydrofolate deformylase {ECO:0000255|HAMAP-Rule:MF_01927}
1_1246	UPF0225 protein YE2246 {ECO:0000255|HAMAP-Rule:MF_00612}
1_1247	NTE family protein RssA
1_1248	Regulator of RpoS {ECO:0000255|HAMAP-Rule:MF_00958}
1_1249	UTP--glucose-1-phosphate uridylyltransferase
1_1250	DNA-binding protein H-NS
1_1251	Thymidine kinase {ECO:0000255|HAMAP-Rule:MF_00124}
1_1252	Putative transposase InsZ
1_1253	Hypothetical protein
1_1254	Succinate-semialdehyde dehydrogenase (acetylating)
1_1255	UPF0056 membrane protein bbp_248
1_1256	Hypothetical protein
1_1257	Hypothetical protein
1_1258	Insertion element iso-IS1d protein InsA
1_1259	Insertion element IS1 protein InsB
1_1260	NULL
1_1261	Probable peptide ABC transporter permease protein y4tP
1_1262	Glutathione transport system permease protein GsiD {ECO:0000250|UniProtKB:P75799}
1_1263	Glutathione import ATP-binding protein GsiA {ECO:0000250|UniProtKB:P75796}
1_1264	Glutathione import ATP-binding protein GsiA {ECO:0000250|UniProtKB:P75796}
1_1265	UPF0263 protein ETA_15890 {ECO:0000255|HAMAP-Rule:MF_00680}
1_1266	Cardiolipin synthase A {ECO:0000255|HAMAP-Rule:MF_00190}
1_1267	Voltage-gated potassium channel Kch
1_1268	Integrase
1_1269	Hypothetical protein
1_1270	Hypothetical protein
1_1271	Hypothetical protein
1_1272	Hypothetical protein
1_1273	Hypothetical protein
1_1274	Exonuclease
1_1275	Hypothetical protein
1_1276	Hypothetical protein
1_1277	Hypothetical protein
1_1278	Hypothetical protein
1_1279	Hypothetical protein
1_1280	Hypothetical protein
1_1281	Hypothetical protein
1_1282	Probable regulatory protein N
1_1283	Hypothetical protein
1_1284	Protein 40A
1_1285	HTH-type transcriptional regulator RdgA
1_1286	Hypothetical protein
1_1287	Regulatory protein CII
1_1288	Replication protein 15
1_1289	Replication protein 14
1_1290	Hypothetical protein
1_1291	Uncharacterized protein YbcN
1_1292	Hypothetical protein
1_1293	Serine/threonine-protein phosphatase 2
1_1294	Hypothetical protein
1_1295	Hypothetical protein
1_1296	Hypothetical protein
1_1297	Hypothetical protein
1_1298	SAR-endolysin {ECO:0000255|HAMAP-Rule:MF_04136}
1_1299	Spanin, inner membrane subunit {ECO:0000255|HAMAP-Rule:MF_04137}
1_1300	Hypothetical protein
1_1301	Hypothetical protein
1_1302	Hypothetical protein
1_1303	Hypothetical protein
1_1304	Terminase, small subunit
1_1305	ATPase {ECO:0000255|HAMAP-Rule:MF_04144}
1_1306	Hypothetical protein
1_1307	Portal protein B {ECO:0000255|HAMAP-Rule:MF_04135}
1_1308	Scaffold protein GP6
1_1309	Putative decoration protein {ECO:0000305}
1_1310	Cyanate hydratase {ECO:0000255|HAMAP-Rule:MF_00535}
1_1311	Cyanate transport protein CynX
1_1312	Galactoside O-acetyltransferase {ECO:0000303|PubMed:7592843}
1_1313	Sucrose permease {ECO:0000303|PubMed:7535526}
1_1314	Beta-galactosidase {ECO:0000255|HAMAP-Rule:MF_01687}
1_1315	Lactose operon repressor
1_1316	DNA-binding transcriptional activator MhpR {ECO:0000305}
1_1317	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase {ECO:0000255|HAMAP-Rule:MF_01652}
1_1318	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase {ECO:0000255|HAMAP-Rule:MF_01653}
1_1319	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
1_1320	Hypothetical protein
1_1321	Allergen Alt a 2
1_1322	Resolvase/recombinase
1_1323	Transposase for transposon Tn4430
1_1324	Voltage-gated potassium channel Kch
1_1325	Protein YciI
1_1326	Protein TonB
1_1327	Uncharacterized acyl-CoA thioester hydrolase HI_0827
1_1328	Inner membrane-spanning protein YciB {ECO:0000255|HAMAP-Rule:MF_00189}
1_1329	UPF0259 membrane protein Spro_2675 {ECO:0000255|HAMAP-Rule:MF_01067}
1_1330	Outer membrane protein W
1_1331	Protein YciE
1_1332	Protein YciF
1_1333	Hypothetical protein
1_1334	Tryptophan synthase alpha chain {ECO:0000255|HAMAP-Rule:MF_00131}
1_1335	Tryptophan synthase beta chain {ECO:0000255|HAMAP-Rule:MF_00133}
1_1336	N-(5'-phospho-ribosyl)anthranilate isomerase
1_1337	Anthranilate phosphoribosyltransferase {ECO:0000255|HAMAP-Rule:MF_00211}
1_1338	Anthranilate synthase component 1
1_1339	5'-3' exoribonuclease {ECO:0000250|UniProtKB:P77766}
1_1340	Uncharacterized protein HI_1198
1_1341	Uncharacterized protein YciQ
1_1342	Ribosomal large subunit pseudouridine synthase B
1_1343	Corrinoid adenosyltransferase
1_1344	Uncharacterized oxidoreductase YciK
1_1345	Putative protease SohB
1_1346	Hypothetical protein
1_1347	DNA topoisomerase 1 {ECO:0000255|HAMAP-Rule:MF_00952}
1_1348	HTH-type transcriptional regulator cbl
1_1349	Hypothetical protein
1_1350	Hypothetical protein
1_1351	Hypothetical protein
1_1352	Aconitate hydratase A {ECO:0000250|UniProtKB:Q8ZP52}
1_1353	GTP cyclohydrolase-2 {ECO:0000255|HAMAP-Rule:MF_00179}
1_1354	Phosphatidylglycerophosphatase B
1_1355	Lipopolysaccharide assembly protein A {ECO:0000255|HAMAP-Rule:MF_01948, ECO:0000303|PubMed:24722986}
1_1356	Lipopolysaccharide assembly protein B {ECO:0000255|HAMAP-Rule:MF_00994}
1_1357	Orotidine 5'-phosphate decarboxylase {ECO:0000255|HAMAP-Rule:MF_01200}
1_1358	Uncharacterized protein YciH
1_1359	Hypothetical protein
1_1360	Uncharacterized HTH-type transcriptional regulator YciT
1_1361	Hypothetical protein
1_1362	Uncharacterized protein sll1895
1_1363	Exoribonuclease 2 {ECO:0000255|HAMAP-Rule:MF_01036}
1_1364	Uncharacterized protein YciW
1_1365	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
1_1366	Glutathione import ATP-binding protein GsiA {ECO:0000250|UniProtKB:P75796}
1_1367	Dipeptide transport ATP-binding protein DppD {ECO:0000305}
1_1368	Dipeptide transport system permease protein DppC {ECO:0000250|UniProtKB:P0AEG1}
1_1369	NULL
1_1370	NULL
1_1371	Hypothetical protein
1_1372	Probable low-affinity putrescine importer PlaP
1_1373	NULL
1_1374	NULL
1_1375	HTH-type transcriptional regulator PuuR
1_1376	Putative aldehyde dehydrogenase-like protein C922.07c
1_1377	NULL
1_1378	Acetylornithine aminotransferase {ECO:0000255|HAMAP-Rule:MF_01107}
1_1379	Anaerobic nitric oxide reductase transcription regulator NorR {ECO:0000255|HAMAP-Rule:MF_01314}
1_1380	Phage shock protein A
1_1381	Hypothetical protein
1_1382	Phage shock protein C
1_1383	Hypothetical protein
1_1384	Thiosulfate sulfurtransferase PspE
1_1385	Glucosylglycerate phosphorylase {ECO:0000303|PubMed:28754708}
1_1386	Putative ABC transporter periplasmic-binding protein YcjN
1_1387	Inner membrane ABC transporter permease protein YcjO
1_1388	Inner membrane ABC transporter permease protein YcjP
1_1389	D-guloside 3-dehydrogenase {ECO:0000250|UniProtKB:P76043}
1_1390	3-dehydro-D-guloside 4-epimerase {ECO:0000305|PubMed:30742415}
1_1391	D-glucoside 3-dehydrogenase {ECO:0000305|PubMed:30742415}
1_1392	Nigerose phosphorylase
1_1393	Beta-phosphoglucomutase
1_1394	sn-glycerol-3-phosphate import ATP-binding protein UgpC {ECO:0000255|HAMAP-Rule:MF_01727}
1_1395	Outer membrane porin G
1_1396	Uncharacterized HTH-type transcriptional regulator YcjW
1_1397	Uncharacterized protein HI_1637
1_1398	UPF0283 membrane protein YE2117 {ECO:0000255|HAMAP-Rule:MF_01085}
1_1399	NULL
1_1400	Thiol peroxidase {ECO:0000255|HAMAP-Rule:MF_00269}
1_1401	L-Ala-D/L-Glu epimerase
1_1402	Murein peptide amidase A {ECO:0000255|HAMAP-Rule:MF_02211, ECO:0000303|PubMed:22970852}
1_1403	Hypothetical protein
1_1404	Uncharacterized protein YcjY
1_1405	Putative transcriptional regulator
1_1406	Probable deoxycholate-binding periplasmic protein YgiS
1_1407	Low conductance mechanosensitive channel YnaI
1_1408	Transposase InsH for insertion sequence element IS5Y
1_1409	Hypothetical protein
1_1410	Universal stress protein E homolog
1_1411	Transcriptional regulatory protein btr
1_1412	Methylated-DNA--protein-cysteine methyltransferase {ECO:0000255|HAMAP-Rule:MF_00772}
1_1413	p-aminobenzoyl-glutamate transport protein
1_1414	p-aminobenzoyl-glutamate hydrolase subunit B
1_1415	p-aminobenzoyl-glutamate hydrolase subunit A homolog
1_1416	HTH-type transcriptional regulator AbgR
1_1417	Probable DNA endonuclease SmrA
1_1418	Diguanylate cyclase DgcM {ECO:0000250|UniProtKB:P77302}
1_1419	Zinc transport protein ZntB {ECO:0000255|HAMAP-Rule:MF_01565}
1_1420	Hypothetical protein
1_1421	DEAD-box ATP-dependent RNA helicase CshA {ECO:0000255|HAMAP-Rule:MF_01493}
1_1422	tRNA-cytidine(32) 2-sulfurtransferase {ECO:0000255|HAMAP-Rule:MF_01850}
1_1423	Putative defective protein IntQ {ECO:0000305}
1_1424	Hypothetical protein
1_1425	Hypothetical protein
1_1426	Protein RecT
1_1427	Exodeoxyribonuclease 8
1_1428	Protein RacC
1_1429	Hypothetical protein
1_1430	Hypothetical protein
1_1431	Superinfection exclusion protein B
1_1432	Hypothetical protein
1_1433	Hypothetical protein
1_1434	Prophage repressor RacR {ECO:0000305}
1_1435	Uncharacterized protein YdaS
1_1436	Uncharacterized protein YdaT
1_1437	Uncharacterized protein YdaU
1_1438	DNA replication protein DnaC
1_1439	Protein YdaW
1_1440	Putative endopeptidase RzpR {ECO:0000305}
1_1441	Trk system potassium uptake protein TrkH
1_1442	Hypothetical protein
1_1443	Protein YdaY
1_1444	Protein YnaA
1_1445	Transposase InsH for insertion sequence element IS5H
1_1446	Hypothetical protein
1_1447	Long-tail fiber protein gp37
1_1448	Tail fiber assembly protein homolog from lambdoid prophage Fels-1
1_1449	Transposon Tn2501 resolvase
1_1450	Hypothetical protein
1_1451	Transposase InsH for insertion sequence element IS5Y
1_1452	Universal stress protein F
1_1453	Outer membrane porin PhoE
1_1454	NULL
1_1455	Hypothetical protein
1_1456	Heat shock protein HslJ
1_1457	Phenyllactate dehydrogenase {ECO:0000303|PubMed:10849007}
1_1458	Uncharacterized protein YdbH
1_1459	Hypothetical protein
1_1460	Uncharacterized protein YdbL
1_1461	Transcriptional activator FeaR
1_1462	NADP/NAD-dependent aldehyde dehydrogenase PuuC {ECO:0000303|PubMed:1840553}
1_1463	Phenylethylamine oxidase
1_1464	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase
1_1465	1,2-phenylacetyl-CoA epoxidase, subunit A
1_1466	1,2-phenylacetyl-CoA epoxidase, subunit B
1_1467	1,2-phenylacetyl-CoA epoxidase, subunit C
1_1468	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
1_1469	1,2-phenylacetyl-CoA epoxidase, subunit E
1_1470	Enoyl-CoA hydratase, mitochondrial {ECO:0000305}
1_1471	1,2-epoxyphenylacetyl-CoA isomerase
1_1472	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
1_1473	Acyl-coenzyme A thioesterase PaaI
1_1474	3-ketoacyl-CoA thiolase {ECO:0000255|HAMAP-Rule:MF_01620}
1_1475	Phenylacetate-coenzyme A ligase
1_1476	Transcriptional repressor PaaX
1_1477	Carnitine operon protein CaiE {ECO:0000255|HAMAP-Rule:MF_01525}
1_1478	Putative surface-exposed virulence protein BigA
1_1479	Putative transposase InsD for insertion element IS2E
1_1480	Insertion element IS2A uncharacterized 48.2 kDa protein
1_1481	Transposase for insertion sequence element IS1086
1_1482	Putative surface-exposed virulence protein BigA
1_1483	Pyridoxine 4-dehydrogenase {ECO:0000303|PubMed:27941785}
1_1484	Uncharacterized protein YdbD
1_1485	Inner membrane protein YnbA
1_1486	Uncharacterized protein YnbB
1_1487	Uncharacterized protein YnbC
1_1488	Uncharacterized protein YnbD
1_1489	FMN-dependent NADH:quinone oxidoreductase {ECO:0000255|HAMAP-Rule:MF_01216}
1_1490	Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7 {ECO:0000305}
1_1491	Protein YdcF
1_1492	Gamma-aminobutyraldehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_01275}
1_1493	Hypothetical protein
1_1494	NULL
1_1495	Hypothetical protein
1_1496	Probable cytochrome b561
1_1497	Hypothetical protein
1_1498	Hypothetical protein
1_1499	Putative sensory transducer protein
1_1500	Uncharacterized HTH-type transcriptional regulator YdcI
1_1501	Uncharacterized protein Mb3320
1_1502	Glucans biosynthesis protein D {ECO:0000255|HAMAP-Rule:MF_01068}
1_1503	Hypothetical protein
1_1504	Ribosomal-protein-serine acetyltransferase
1_1505	Uncharacterized acetyltransferase YdcK
1_1506	Tellurite resistance protein TehA
1_1507	Hemagglutinin 1
1_1508	Uncharacterized lipoprotein YdcL
1_1509	Hypothetical protein
1_1510	Putative transposase InsQ for insertion sequence element IS609
1_1511	Inner membrane protein YdcO
1_1512	HTH-type transcriptional regulator SutR {ECO:0000305}
1_1513	23S rRNA 5-hydroxycytidine C2501 synthase {ECO:0000305}
1_1514	Hypothetical protein
1_1515	Hypothetical protein
1_1516	Antitoxin HicB
1_1517	Uncharacterized HTH-type transcriptional regulator YjiR
1_1518	Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein {ECO:0000305}
1_1519	Spermidine/putrescine import ATP-binding protein PotA {ECO:0000255|HAMAP-Rule:MF_01726}
1_1520	Inner membrane ABC transporter permease protein YdcU {ECO:0000305}
1_1521	Inner membrane ABC transporter permease protein YdcV {ECO:0000250|UniProtKB:P0AFR9}
1_1522	Betaine aldehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00804}
1_1523	Hypothetical protein
1_1524	Hypothetical protein
1_1525	Inner membrane protein YdcZ
1_1526	L-methionine sulfoximine/L-methionine sulfone acetyltransferase {ECO:0000250|UniProtKB:A6VCX3}
1_1527	Prostaglandin reductase 2 {ECO:0000305}
1_1528	HTH-type transcriptional regulator McbR
1_1529	Probable TonB-dependent receptor YncD
1_1530	Uncharacterized protein YncE
1_1531	Uncharacterized amino acid permease YbgF
1_1532	Uncharacterized GST-like protein YncG
1_1533	Hypothetical protein
1_1534	Putative uncharacterized protein YibJ
1_1535	Uncharacterized protein YdcD
1_1536	H repeat-associated putative transposase YbfD
1_1537	Putative transposase YncI
1_1538	Hypothetical protein
1_1539	Uncharacterized protein YddH
1_1540	Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase {ECO:0000303|PubMed:10876241, ECO:0000303|PubMed:1569093}
1_1541	Uncharacterized isomerase CA_C3446
1_1542	Respiratory nitrate reductase 1 gamma chain
1_1543	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
1_1544	NULL
1_1545	Perchlorate reductase subunit alpha
1_1546	Probable nitrate/nitrite antiporter NarK2 {ECO:0000305}
1_1547	Putative protein YddJ
1_1548	Leucine-rich repeat domain-containing protein YddK
1_1549	Outer membrane porin C 2 {ECO:0000305}
1_1550	Methyl viologen resistance protein YddG
1_1551	Formate dehydrogenase major subunit
1_1552	Formate dehydrogenase 2 subunit alpha (cytochrome c-553) {ECO:0000303|PubMed:16274230}
1_1553	NULL
1_1554	NULL
1_1555	Uncharacterized HTH-type transcriptional regulator YddM
1_1556	Alcohol dehydrogenase
1_1557	NAD-dependent malic enzyme {ECO:0000255|HAMAP-Rule:MF_01619}
1_1558	Hypothetical protein
1_1559	Hypothetical protein
1_1560	Peroxiredoxin OsmC
1_1561	NULL
1_1562	Glutathione import ATP-binding protein GsiA {ECO:0000250|UniProtKB:P75796}
1_1563	Oligopeptide transport system permease protein OppC
1_1564	Putative peptide transport system permease protein BMEII0209
1_1565	Probable D,D-dipeptide-binding periplasmic protein DdpA
1_1566	D-alanyl-D-alanine dipeptidase {ECO:0000255|HAMAP-Rule:MF_01924}
1_1567	Uncharacterized signaling protein PA3311
1_1568	Diguanylate cyclase DosC
1_1569	Glycosyl hydrolase YngK {ECO:0000250|UniProtKB:P64426}
1_1570	Glutamate/gamma-aminobutyrate antiporter {ECO:0000303|PubMed:9484886}
1_1571	Glutamate decarboxylase
1_1572	Probable zinc protease PqqL
1_1573	Uncharacterized protein YddB
1_1574	Inner membrane ABC transporter ATP-binding protein YddA
1_1575	Serine-type anaerobic sulfatase-maturating enzyme {ECO:0000305}
1_1576	Uncharacterized sulfatase YdeN
1_1577	HTH-type transcriptional regulator YdeO
1_1578	Hypothetical protein
1_1579	Uncharacterized oxidoreductase MT2968
1_1580	Type 1 fimbrin D-mannose specific adhesin
1_1581	Protein FimG
1_1582	Fimbrial usher domain-containing protein YdeT
1_1583	Serine/threonine-protein kinase toxin HipA
1_1584	Hypothetical protein
1_1585	AIDA-I translocator
1_1586	Uncharacterized protein YuaQ
1_1587	Autoinducer-2 kinase {ECO:0000255|HAMAP-Rule:MF_02053}
1_1588	Transcriptional regulator LsrR
1_1589	Ribose import ATP-binding protein RbsA {ECO:0000255|HAMAP-Rule:MF_01716}
1_1590	Autoinducer 2 import system permease protein LsrC
1_1591	Autoinducer 2 import system permease protein LsrD
1_1592	Autoinducer 2-binding protein LsrB
1_1593	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase {ECO:0000255|HAMAP-Rule:MF_02052}
1_1594	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase {ECO:0000255|HAMAP-Rule:MF_02051}
1_1595	Trans-aconitate 2-methyltransferase {ECO:0000255|HAMAP-Rule:MF_00560}
1_1596	UPF0187 protein RSc3414
1_1597	Altronate oxidoreductase {ECO:0000255|HAMAP-Rule:MF_00670}
1_1598	Probable diguanylate cyclase DgcF {ECO:0000305}
1_1599	Uncharacterized protein YneG
1_1600	Glutaminase {ECO:0000255|HAMAP-Rule:MF_00313}
1_1601	Betaine aldehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00804}
1_1602	Uncharacterized HTH-type transcriptional regulator YneJ
1_1603	Uncharacterized protein YneK
1_1604	Probable sugar efflux transporter {ECO:0000255|HAMAP-Rule:MF_00517}
1_1605	UPF0056 inner membrane protein MarC
1_1606	Multiple antibiotic resistance protein MarR
1_1607	Multiple antibiotic resistance protein MarA
1_1608	Hypothetical protein
1_1609	Probable amino-acid metabolite efflux pump
1_1610	Uncharacterized MFS-type transporter YdeE
1_1611	Hypothetical protein
1_1612	Diguanylate cyclase DgcZ {ECO:0000303|PubMed:23769666}
1_1613	Uncharacterized protein YdeI
1_1614	Protein YdeJ
1_1615	Oligopeptidase A
1_1616	Sulfoacetaldehyde reductase
1_1617	Uncharacterized HTH-type transcriptional regulator YdfH
1_1618	Hypothetical protein
1_1619	Mannitol 2-dehydrogenase
1_1620	Shikimate transporter
1_1621	Hypothetical protein
1_1622	Transposon Tn2501 resolvase
1_1623	Tail fiber assembly protein homolog from lambdoid prophage Fels-1
1_1624	Long-tail fiber protein gp37
1_1625	Terminase, small subunit
1_1626	Uncharacterized protein YbcV
1_1627	Hypothetical protein
1_1628	Hypothetical protein
1_1629	Protein gp55
1_1630	SAR-endolysin {ECO:0000255|HAMAP-Rule:MF_04136}
1_1631	Uncharacterized protein YdfR
1_1632	Hypothetical protein
1_1633	Hypothetical protein
1_1634	Hypothetical protein
1_1635	Hypothetical protein
1_1636	Prophage antitermination protein Q homolog QuuQ {ECO:0000305}
1_1637	Uncharacterized protein YdfU
1_1638	Hypothetical protein
1_1639	Hypothetical protein
1_1640	mRNA interferase toxin RelE
1_1641	Hypothetical protein
1_1642	Protein FlxA
1_1643	Hypothetical protein
1_1644	Protein YdfX
1_1645	Hypothetical protein
1_1646	HTH-type transcriptional regulator DicA
1_1647	Hypothetical protein
1_1648	Hypothetical protein
1_1649	Hypothetical protein
1_1650	Hypothetical protein
1_1651	Hypothetical protein
1_1652	Hypothetical protein
1_1653	Putative uncharacterized protein YdfE
1_1654	Insertion element IS2A uncharacterized 48.2 kDa protein
1_1655	Putative defective protein IntQ {ECO:0000305}
1_1656	Putative transposase InsD for insertion element IS2E
1_1657	Insertion element IS2A uncharacterized 48.2 kDa protein
1_1658	Prophage integrase IntR {ECO:0000305}
1_1659	Starvation-sensing protein RspB
1_1660	D-galactonate dehydratase family member VIC002985
1_1661	UPF0060 membrane protein ESA_01751 {ECO:0000255|HAMAP-Rule:MF_00010}
1_1662	UPF0482 protein YnfB {ECO:0000255|HAMAP-Rule:MF_01581}
1_1663	Spermidine N(1)-acetyltransferase {ECO:0000303|PubMed:25623305}
1_1664	UPF0257 lipoprotein YnfC {ECO:0000255|HAMAP-Rule:MF_01065}
1_1665	Uncharacterized protein YnfD
1_1666	Dimethyl sulfoxide reductase DmsA
1_1667	Dimethyl sulfoxide reductase DmsA
1_1668	Anaerobic dimethyl sulfoxide reductase chain B
1_1669	Anaerobic dimethyl sulfoxide reductase chain C
